username,request_name,clearing_protocol,antibody1,antibody2,clearing_batch_number,clearing_progress,number_in_batch,expected_handoff_date,clearer,species,datetime_submitted
willmore,201106_willmore,iDISCO abbreviated clearing,,,1,complete,8,2020-11-06,ll3,mouse,2020-11-05 12:42:00
pbibawi,pb_udisco_647,uDISCO (rat),,,1,complete,5,2020-10-27,ll3,rat,2020-10-22 14:36:02
soline,2020.10.05_2357_819,iDISCO abbreviated clearing,,,1,complete,2,2020-10-06,ll3,mouse,2020-10-05 16:08:18
pbibawi,pb_udisco_647_488_4x,uDISCO (rat),,,1,complete,9,2020-10-02,ll3,rat,2020-09-30 14:46:03
eguthman,mg80175,iDISCO abbreviated clearing,none,none,1,complete,1,2020-10-06,ll3,mouse,2020-09-29 13:08:31
oostland,MO_August2020_AcuteBrains_opto,iDISCO abbreviated clearing,,,1,complete,9,2020-08-31,ll3,mouse,2020-08-31 12:46:17
jverpeut,natneuroreviews_set2_tompisano_HSV-H129,iDISCO+_immuno,1:2200 Rabbit anti-HSV,1:625 Donkey anti-Rabbit AlexaFluor 647,1,complete,6,2020-08-28,ll3,mouse,2020-08-27 15:52:49
oostland,MO_August2020_AcuteBrains_L7-Tsc1_pt1,iDISCO abbreviated clearing,,,1,complete,13,2020-08-16,ll3,mouse,2020-08-16 15:54:13
ejdennis,three_female_atlas_brains,iDISCO abbreviated clearing (rat),,,1,complete,3,2020-08-05,ll3,rat,2020-07-29 12:16:29
soline,Mouse_866,iDISCO abbreviated clearing,N/A,N/A,1,complete,1,2020-07-23,ll3,mouse,2020-07-23 05:33:35
jverpeut,ymazecfos_learning_verpeut,iDISCO+_immuno,"Synaptic Systems, rabbit anti-cFos, 1:1000","Donkey anti-Rabbit 647, 1:200",1,complete,30,2020-07-24,ll3,mouse,2020-07-05 15:28:55
jverpeut,natneuroreviews_tompisano_PRV,iDISCO+_immuno,1:750 Chicken anti-GFP Aves,1:400 Donkey anti-Chicken AlexaFluor 647,1,complete,10,2020-07-14,ll3,mouse,2020-07-05 14:47:24
jverpeut,natneuroreviews_tompisano_HSV-H129,iDISCO+_immuno,1:1750 Rabbit anti-HSV,1:500 Donkey anti-Rabbit AlexaFluor 647,1,complete,10,2020-07-14,ll3,mouse,2020-07-05 14:13:02
jverpeut,natneuroreviews_tompisano_CTB,iDISCO+_immuno,Everything but the antibody for the same amount of time as normal immuno.,Everything but the antibody for the same amount of time as normal immuno.,1,complete,2,2020-07-14,ll3,mouse,2020-07-05 13:51:17
ejdennis,"E112,_E126,_E137",iDISCO abbreviated clearing (rat),,,1,complete,3,,,rat,2020-03-11 12:03:39
ejdennis,"K310_(CM-diI),_K315_(CM-diI),_K320,_K321,_K323,_K327,_K333,_K334",iDISCO abbreviated clearing (rat),,,1,complete,8,,,rat,2020-02-16 14:11:46
lpinto,sp1_20200210,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2020-02-11 12:37:40
soline,Mouse_817,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2020-01-28 16:43:25
ejdennis,X013,experimental,rabbit antiRFP rockland 1:1000 AND Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,1,,,rat,2020-01-15 19:49:08
ejdennis,X050,experimental,rabbit antiRFP rockland 1:1000 AND Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,1,,,rat,2020-01-15 19:49:08
ejdennis,X042,experimental,rabbit antiRFP rockland 1:1000 AND Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,1,,,rat,2020-01-15 19:49:08
jverpeut,mcherryDymaze_1-14,iDISCO+_immuno,rabbit antiRFP rockland 1:1000 AND Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,14,,,mouse,2020-01-09 16:43:06
lpinto,sp4_20200106_albumin-FITC,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2020-01-07 16:07:50
soline,"Mouse092,_MouseK01",iDISCO abbreviated clearing,,,1,complete,2,,,mouse,2019-12-05 11:11:25
afalkner,"MFNP2,_MFNP3,_MMNP4,_MMNP5,_MMNP6,_FMNP4,_FMNP5,_FMNP6",iDISCO+_immuno,SySy Rb antiFos 1:1000,Donkey antiRabbit 488 1:500,1,complete,8,,,mouse,2019-11-18 17:22:11
jverpeut,"TPcrusI_lat_cfos_(34_samples_perfused_3_days):_11.14.19_5-14,_11",iDISCO+_immuno,rabbit antiRFP rockland 1:1000 and Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,34,,,mouse,2019-11-04 17:38:35
jverpeut,CDymaze_1-10,iDISCO+_immuno,rabbit antiRFP rockland 1:1000 and Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,10,,,mouse,2019-10-25 15:51:14
jverpeut,10032019_CNOtest,iDISCO+_immuno,Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,1,,,mouse,2019-10-03 17:58:52
pbibawi,"20191001_pb_Z265_ctb647_rPPC,_20191001_pb_Z266_ctb647_lPPC,_2019",uDISCO,,,1,complete,5,,zmd,rat,2019-10-01 13:41:25
willmore,"20191001_LW_10,_11,12,_13,_54,_55,_60,_61,_70,_71,_392",iDISCO abbreviated clearing,,,1,complete,11,,,mouse,2019-09-30 12:59:57
ejdennis,"W122,_W128,_E111",iDISCO abbreviated clearing (rat),,,1,complete,3,,,rat,2019-09-26 15:10:25
mioffe,"M10,_M11",uDISCO,,,1,complete,2,,,mouse,2019-09-13 14:53:57
zhihaoz,190912_zz34,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-09-12 20:41:42
zhihaoz,20190903_gp5p3_gcamp6f_20dg,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-09-02 22:15:39
marlies.oostland,"M18,_M19,_M23,_M26,_M28,_M29,_M31",iDISCO abbreviated clearing,,,1,complete,7,,,mouse,2019-08-19 16:05:13
apv2,ibl_witten_04,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-08-12 15:07:23
marlies.oostland,190809_M27,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-08-09 15:12:32
willmore,20190809_lw_32,iDISCO abbreviated clearing,,,1,complete,8,,,mouse,2019-08-09 15:05:24
ejdennis,"10-13_brains,_names_TBD",iDISCO abbreviated clearing (rat),,,1,complete,1,,,rat,2019-08-06 17:12:15
ejdennis,"W118,_K292,_K293,_K295,_K301,_K302,_K303,_K304,_K305,_K306,_K307",iDISCO abbreviated clearing (rat),,,1,complete,11,,,rat,2019-08-06 17:10:56
soline,190725__Target_Practice,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-07-26 11:56:07
jverpeut,opto_ai27D_lobVI,iDISCO+_immuno,rabbit anti-RFP 1:1000 Rockland,Donkey antiRabbit AF647 1:450,1,complete,12,,,mouse,2019-07-03 16:28:04
marlies.oostland,Marlies_190618_M30,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-06-19 12:52:01
jverpeut,cruslat_ymaze_TiffanyP_6.20.19_(13_samples),iDISCO+_immuno,rabbit antiRFP rockland 1:1000 and Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,13,,,mouse,2019-06-17 21:15:32
jverpeut,cruslat_ymaze_TiffanyP_6.20.19_(12_samples),iDISCO+_immuno,rabbit antiRFP rockland 1:1000 and Synaptic Systems rabbit anti cFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,12,,,mouse,2019-06-17 21:11:08
marlies.oostland,Marlies_190614_M21,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-06-14 18:23:52
rmallarino,171,iDISCO_EdU,,,1,complete,1,,,marsupial,2019-06-06 13:49:04
ejdennis,20190606_atlas00x_where_x=11-20,iDISCO abbreviated clearing (rat),,,1,complete,10,,,rat,2019-06-04 10:43:37
soline,Mouse_058,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-05-24 12:58:58
mioffe,"five_samples,_h1_and_h2,_r1,r2,r3",uDISCO,,,1,complete,5,,,mouse,2019-05-24 12:41:05
ejdennis,201905_atlas00x_where_x=1:n,iDISCO abbreviated clearing (rat),,,1,complete,1,,,rat,2019-05-21 19:12:45
marlies.oostland,not_sure_-_check_when_samples_are_given_to_us?,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-05-02 10:40:41
willmore,20190510_lw_059,iDISCO abbreviated clearing,,,1,complete,11,,,mouse,2019-05-01 17:25:35
pbibawi,"20190405_pb_X015,_20190405_pb_X045,_20190405_pb_A233,20190405_pb",iDISCO abbreviated clearing (rat),SySy Rb antiFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,2,,,rat,2019-04-05 17:54:38
jverpeut,AdultChronicD_MLI_Lawrence_(1-12_each_batch),iDISCO+_immuno,SySy Rb antiFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,12,,,mouse,2019-03-27 12:45:44
jverpeut,LindsayCrusI_ymaze_cfos_(25_samples),iDISCO+_immuno,SySy Rb antiFos 1:1000,Donkey antiRabbit 647 1:200,1,complete,25,,,mouse,2019-03-27 12:42:21
mioffe,a1_20190327_a2_20190327_a3_20190327,iDISCO+_immuno,Chicken antiGFP Aves 1:1000,Donkey anti chicken 647 1:750,1,complete,3,,,mouse,2019-03-27 12:17:38
jverpeut,EAAT4-_14_samples,iDISCO+_immuno,Chicken antiGFP Aves 1:1000,Donkey anti chicken 647 1:750,1,complete,14,,,mouse,2019-03-19 16:20:06
marlies.oostland,"20181217_marlies,_20181013_marlies_M12",iDISCO abbreviated clearing,,,1,complete,2,,,mouse,2019-03-14 19:03:55
apv2,20190313_IBL_DiI_1,iDISCO abbreviated clearing,,,1,complete,1,,,mouse,2019-03-13 01:43:03
jverpeut,an1-31,iDISCO+_immuno,rabbit anti-RFP 1:1000 rockland,Donkey antiRabbit 647 1:450,1,complete,28,,,mouse,2019-03-07 23:31:33
willmore,20190304_LW_m340,iDISCO abbreviated clearing,,,1,complete,7,,,mouse,2019-03-02 11:27:16
jverpeut,DREADDymaze,iDISCO+_immuno,"Anti cfos 1:1000, 19-28 rabbit anti rfp 1:1000 rockland",Donkey antirabbit AF647 1:200,1,complete,33,,,mouse,2019-02-26 12:55:22
