,brain,batch,condition,numerical_aperture,exposure_time_millisec,background_parameter_x,background_parameter_y,morph_opening_size,intensity_parameter_x,intensity_parameter_y,intensity_parameter_z,cell_shape_parameter_threshold
0,dadult_pc_lob6_15,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,150,3,3,5,3,3,3,350
1,dadult_pc_crus1_5,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
2,dadult_pc_crus1_2,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
3,dadult_pc_lob6_19,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,150,3,3,5,3,3,3,350
4,dadult_pc_lob6_21,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,300,3,3,5,3,3,3,350
5,dadult_pc_lob6_17,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,150,3,3,5,3,3,3,350
6,dadult_pc_lob6_18,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,150,3,3,5,3,3,3,350
7,dadult_pc_crus1_3,201810_adultacutePC_ymaze_cfos,vector_control_reversal,17,150,3,3,5,3,3,3,295
8,dadult_pc_crus1_8,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
9,dadult_pc_crus1_1,201810_adultacutePC_ymaze_cfos,vector_control_reversal,17,150,3,3,5,5,5,5,295
10,dadult_pc_crus1_6,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
11,dadult_pc_lob6_16,201810_adultacutePC_ymaze_cfos,vector_control_reversal,17,150,3,3,5,3,3,3,350
12,dadult_pc_lob6_14,201810_adultacutePC_ymaze_cfos,vector_control_reversal,17,150,3,3,5,3,3,3,350
13,dadult_pc_lob6_20,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,300,3,3,5,3,3,3,350
14,dadult_pc_crus1_7,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
15,dadult_pc_lob6_13,201810_adultacutePC_ymaze_cfos,lobVI_reversal,17,150,3,3,5,3,3,3,350
16,dadult_pc_crus1_4,201810_adultacutePC_ymaze_cfos,vector_control_reversal,17,150,3,3,5,3,3,3,295
17,dadult_pc_crus1_9,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,17,150,3,3,5,3,3,3,295
18,an25,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
19,an16,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
20,an6,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
21,an3,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
22,an8,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
23,an28,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
24,an29,201904_ymaze_cfos,homecage_control,8,200,5,5,5,3,3,3,150
25,an17,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
26,an32,201904_ymaze_cfos,homecage_control,8,200,5,5,5,3,3,3,150
27,an14,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
28,an9,201904_ymaze_cfos,CNO_control_reversal,8,700,5,5,5,3,3,3,150
29,an26,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
30,an23,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
31,an31,201904_ymaze_cfos,homecage_control,8,200,5,5,5,3,3,3,150
32,an30,201904_ymaze_cfos,homecage_control,8,200,5,5,5,3,3,3,150
33,an5,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
34,an4,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
35,an22,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
36,an7,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
37,an12,201904_ymaze_cfos,CNO_control_reversal,8,700,5,5,5,3,3,3,150
38,an18,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
39,an27,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
40,an33,201904_ymaze_cfos,homecage_control,8,200,5,5,5,3,3,3,150
41,an11,201904_ymaze_cfos,CNO_control_reversal,8,700,5,5,5,3,3,3,150
42,an19,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
43,an1,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
44,an15,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
45,an10,201904_ymaze_cfos,CNO_control_reversal,8,700,5,5,5,3,3,3,150
46,an21,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
47,an24,201904_ymaze_cfos,lobVI_reversal,8,400,5,5,5,3,3,3,150
48,an13,201904_ymaze_cfos,CNO_control_reversal,8,200,5,5,5,3,3,3,150
49,an2,201904_ymaze_cfos,CNO_control_no_reversal,8,700,5,5,5,3,3,3,150
50,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
51,an16,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
52,an04,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
53,an17,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
54,an07,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
55,an03,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
56,an08,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
57,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
58,an02,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
59,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
60,an09,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
61,an06,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
62,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
63,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
64,an18,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
65,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
66,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
67,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
68,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
69,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
70,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,8,500,7,7,20,4,4,4,450
71,an01,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,250,7,7,20,4,4,4,450
72,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,8,500,7,7,20,4,4,4,450
73,an05,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,500,7,7,20,4,4,4,450
74,an5_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
75,an6_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
76,an3_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
77,an12_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
78,an2_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
79,an11_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
80,an6_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
81,an16_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
82,an4_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
83,an10_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
84,an21_crus1_lat,202002_cfos,CNO_control_reversal,8,250,5,5,0,5,5,5,250
85,an20_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
86,an3_saline,202002_cfos,saline_injection,8,250,5,5,0,5,5,5,250
87,an4_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
88,an17_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
89,an30_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
90,an1_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
91,an25_crus1_lat,202002_cfos,CNO_control_reversal,8,250,5,5,0,5,5,5,250
92,an24_crus1_lat,202002_cfos,CNO_control_reversal,8,250,5,5,0,5,5,5,250
93,an22_crus1_lat,202002_cfos,CNO_control_reversal,8,250,5,5,0,5,5,5,250
94,an1_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
95,an8_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
96,an6_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
97,an9_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
98,an18_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
99,an3_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
100,an0_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
101,an7_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
102,an7_cno,202002_cfos,cno_injection,8,250,5,5,0,5,5,5,250
103,an10_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
104,an13_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
105,an26_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
106,an1_saline,202002_cfos,saline_injection,8,250,5,5,0,5,5,5,250
107,an31_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
108,an11_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
109,an10_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
110,an9_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
111,an6_cno,202002_cfos,cno_injection,8,250,5,5,0,5,5,5,250
112,an32_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
113,an2_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
114,an7_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
115,an8_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
116,an8_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
117,an8_cno,202002_cfos,cno_injection,8,250,5,5,0,5,5,5,250
118,an12_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
119,an15_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
120,an5_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
121,an3_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
122,an4_vecctrl_ymaze,202002_cfos,lobVI_noreversal,8,250,5,5,0,5,5,5,250
123,an34_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
124,an9_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
125,an23_crus1_lat,202002_cfos,CNO_control_reversal,8,250,5,5,0,5,5,5,250
126,an33_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
127,an2_saline,202002_cfos,saline_injection,8,250,5,5,0,5,5,5,250
128,an1_crus1_lat,202002_cfos,CNOnCrusILT,8,250,5,5,0,5,5,5,250
129,an19_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
130,an27_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
131,an7_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
132,an14_crus1_lat,202002_cfos,CNOnCrusIRT,8,250,5,5,0,5,5,5,250
133,an14_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
134,an4_saline,202002_cfos,saline_injection,8,250,5,5,0,5,5,5,250
135,an29_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
136,an13_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
137,an28_crus1_lat,202002_cfos,Vehicle_control_reversal,8,250,5,5,0,5,5,5,250
138,an2_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,8,250,5,5,0,5,5,5,250
139,an024,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
140,an001,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
141,an012,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
142,an013,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
143,an019,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
144,an009,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
145,an025,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
146,an015,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
147,an023,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
148,an030,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
149,an011,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
150,an021,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
151,an003,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
152,an022,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
153,an010,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
154,an002,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
155,an004,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
156,an007,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
157,an027,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
158,an020,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
159,an028,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
160,an014,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
161,an029,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
162,an026,202010_cfos,acquisition_day2,8,50,3,3,0,3,3,3,100
163,an017,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
164,an008,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
165,an006,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
166,an005,202010_cfos,habituation,8,50,3,3,0,3,3,3,100
167,an016,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
168,an018,202010_cfos,acquisition_day1,8,50,3,3,0,3,3,3,100
