,brain,batch,condition,Anterior amygdalar area,Basolateral amygdalar nucleus,Central amygdalar nucleus,Cortical amygdalar area,Intercalated amygdalar nucleus,Lateral amygdalar nucleus,Posterior amygdalar nucleus,Somatomotor areas,Somatosensory areas,Gustatory areas,Visceral area,Auditory areas,Visual areas,Anterior cingulate area,Prelimbic area,Infralimbic area,Orbital area,Retrosplenial area,Posterior parietal association areas,Temporal association areas,Perirhinal area,Ectorhinal area,Hippocampal region,Retrohippocampal region,Endopiriform nucleus,Caudoputamen,Nucleus accumbens,Fundus of striatum,Lateral septal nucleus,Septofimbrial nucleus,Septohippocampal nucleus,Pallidum,Ventral anterior-lateral complex of the thalamus,Ventral medial nucleus of the thalamus,Ventral posterolateral nucleus of the thalamus,"""Ventral posterolateral nucleus of the thalamus, parvicellular part""",Ventral posteromedial nucleus of the thalamus,"""Ventral posteromedial nucleus of the thalamus, parvicellular part""",Posterior triangular thalamic nucleus,Subparafascicular nucleus,Subparafascicular area,Lateral posterior nucleus of the thalamus,Posterior complex of the thalamus,Anteroventral nucleus of thalamus,Anteromedial nucleus,Anterodorsal nucleus,Interanteromedial nucleus of the thalamus,Interanterodorsal nucleus of the thalamus,Lateral dorsal nucleus of thalamus,Intermediodorsal nucleus of the thalamus,Submedial nucleus of the thalamus,Parataenial nucleus,Paraventricular nucleus of the thalamus,Nucleus of reuniens,Rhomboid nucleus,Central medial nucleus of the thalamus,Paracentral nucleus,Central lateral nucleus of the thalamus,Parafascicular nucleus,Reticular nucleus of the thalamus,Medial habenula,Lateral habenula,Arcuate hypothalamic nucleus,Anterodorsal preoptic nucleus,Anteroventral preoptic nucleus,Anteroventral periventricular nucleus,Medial preoptic area,Posterodorsal preoptic nucleus,Parastrial nucleus,"""Periventricular hypothalamic nucleus, posterior part""","""Periventricular hypothalamic nucleus, preoptic part""",Subparaventricular zone,Suprachiasmatic nucleus,Ventrolateral preoptic nucleus,Mammillary body,Median preoptic nucleus,Dorsal premammillary nucleus,Ventral premammillary nucleus,Lateral hypothalamic area,Lateral preoptic area,Retrochiasmatic area,Subthalamic nucleus,Tuberal nucleus,Zona incerta,Median eminence,"""Superior colliculus, sensory related""",Nucleus of the brachium of the inferior colliculus,Nucleus sagulum,Parabigeminal nucleus,"""Substantia nigra, reticular part""",Ventral tegmental area,"""Midbrain reticular nucleus, retrorubral area""","""Superior colliculus, motor related""",Periaqueductal gray,Pretectal region,Cuneiform nucleus,Red nucleus,Oculomotor nucleus,Paratrochlear nucleus,Ventral tegmental nucleus,Anterior tegmental nucleus,"""Substantia nigra, compact part""",Pedunculopontine nucleus,Midbrain raphe nuclei,Parabrachial nucleus,Superior olivary complex,Barrington's nucleus,Dorsal tegmental nucleus,Posterodorsal tegmental nucleus,Pontine central gray,Pontine gray,"""Pontine reticular nucleus, caudal part""",Supragenual nucleus,Supratrigeminal nucleus,Tegmental reticular nucleus,Motor nucleus of trigeminal,Laterodorsal tegmental nucleus,Nucleus incertus,Pontine reticular nucleus,Nucleus raphe pontis,Subceruleus nucleus,Sublaterodorsal nucleus
0,an10,201904_ymaze_cfos,CNO_control_reversal,501,1416,502,6135,78,357,1920,8220,24354,1104,2033,6791,21949,2351,342,363,2366,10685,2579,4380,1611,3549,15831,37201,2414,17168,1770,496,450,8,5,4699,866,602,1016,0,2602,0,89,195,1,1520,1312,257,153,59,15,45,1425,41,104,32,175,166,25,45,99,555,528,942,12,348,168,51,101,65,560,5,54,0,0,0,16,185,1533,1,131,406,3326,528,133,97,1401,1318,0,0,325,158,260,0,366,0,0,5086,1742,842,274,11,59,32,24,0,931,594,964,1051,18,54,12,347,865,0,0,161,246,298,201,106,1100,59,40,97
1,an11,201904_ymaze_cfos,CNO_control_reversal,163,805,248,1808,33,172,594,5974,27195,459,1358,6760,15968,2648,334,283,1390,7850,1949,2588,638,1605,12696,25706,1310,4353,1244,45,223,8,4,2809,371,164,337,0,1432,0,186,162,0,1184,890,54,58,28,5,14,1140,28,41,22,55,138,17,52,62,292,190,248,4,161,57,78,70,44,446,4,55,0,0,0,12,118,1443,0,82,156,2235,355,77,75,439,403,0,0,232,128,137,0,426,0,0,3587,2119,931,266,8,53,8,7,0,531,725,1150,1162,11,13,5,174,2029,0,1,107,422,243,176,57,1161,24,12,25
2,an12,201904_ymaze_cfos,CNO_control_reversal,1207,5276,2338,14005,280,1904,3750,30697,113069,3755,6597,23648,56245,8640,1849,1662,6602,29334,9996,10900,3523,7027,48076,86187,5979,43833,6331,733,1529,68,59,12592,1063,551,1472,0,3474,0,742,600,3,3030,3360,350,189,81,28,138,3271,149,128,92,241,375,46,159,284,910,977,1598,8,647,288,164,266,113,1756,39,255,0,0,0,47,352,3656,6,242,740,8162,1650,281,320,3195,1819,0,0,645,517,359,0,1040,0,0,6841,3814,1332,754,32,285,33,13,0,1432,1942,1888,1537,45,203,26,873,3264,0,3,370,326,487,552,256,2035,153,70,174
3,an13,201904_ymaze_cfos,CNO_control_reversal,609,3063,1583,4942,224,1131,1803,22274,51758,1289,2609,10275,32071,4956,1126,639,3640,16521,3877,5092,1175,3150,28816,36739,3835,38320,5157,719,1637,148,22,11374,1972,1469,2184,0,3892,0,465,394,3,1982,2494,883,663,155,89,208,3889,258,476,266,337,702,180,461,363,668,826,3417,6,332,197,193,200,62,1062,17,244,0,0,0,30,150,1647,6,148,240,4743,1023,122,262,1084,2609,0,0,292,224,191,0,712,0,0,8550,2602,1317,974,49,111,52,58,0,1722,1450,1767,1647,9,57,6,268,2965,0,0,260,1284,568,244,40,3573,24,16,45
4,an14,201904_ymaze_cfos,CNO_control_reversal,859,3401,1996,5928,198,1739,2007,23690,57820,1123,1884,9313,41974,8585,1322,796,3821,17026,5639,5073,1532,3825,39579,40633,4902,53243,5072,776,2137,137,51,15405,1659,1684,1975,0,3967,0,551,533,4,3050,3351,590,697,60,110,129,2686,278,526,187,514,652,173,418,484,614,965,3285,18,590,170,145,155,44,1198,20,175,0,0,0,33,253,1282,7,156,280,3801,1154,90,203,899,2628,0,0,361,224,183,0,636,0,0,7106,4819,1282,801,44,56,34,25,0,2002,409,1515,482,9,26,3,246,1061,0,0,333,340,496,221,50,2356,162,37,46
5,an15,201904_ymaze_cfos,CNO_control_reversal,831,4148,3701,1650,312,1976,1191,19149,55563,1322,2264,7709,14053,9719,1521,1254,3613,11919,2503,3307,596,2437,42305,24780,3971,80267,7124,1064,3595,359,42,23443,1480,1565,2998,0,4294,0,1195,1023,12,2419,2398,868,802,263,108,298,4269,392,273,444,670,1109,150,474,265,776,1253,5911,6,508,133,310,213,51,1461,35,355,0,0,0,19,136,1849,11,145,135,8852,1468,175,491,612,5040,0,0,524,363,197,0,1731,0,0,13045,4921,2734,2862,38,225,90,127,0,3943,2888,2449,978,18,68,2,309,2453,0,0,479,1195,863,341,99,5631,225,68,58
6,an16,201904_ymaze_cfos,CNO_control_reversal,787,3495,3781,2683,308,1677,1591,8750,32120,724,1811,5969,14052,5134,823,646,1868,9915,1914,3044,664,2412,49083,30924,3553,62718,5361,975,1188,90,7,18072,1886,1603,2352,0,5118,0,1120,926,12,3850,4146,624,585,147,55,238,4334,379,362,260,814,562,120,378,431,1055,1312,4759,22,1038,145,148,135,32,958,15,198,0,0,0,28,129,1691,2,118,342,5324,1101,121,439,679,4475,0,0,630,313,182,0,1645,0,0,13804,5355,2800,3027,60,169,68,65,0,3778,2074,3097,1283,26,67,13,600,2273,0,6,607,1072,884,493,240,6886,270,139,209
7,an17,201904_ymaze_cfos,CNO_control_reversal,1520,8023,8508,5973,677,3911,2991,30515,108781,3176,5045,17746,51456,11055,939,730,4645,34748,7158,9473,2587,6750,99676,66654,8169,106279,9887,1780,4349,382,72,42243,5084,4426,6541,0,10905,0,2385,1710,11,7466,7435,1816,1550,368,169,449,8265,766,962,672,1071,2018,349,966,854,1923,2207,11355,31,1580,271,279,258,58,1793,46,372,0,0,0,66,251,1857,13,200,334,15362,2557,521,1046,1878,11252,0,0,927,410,308,0,2050,0,0,22260,10423,3496,3230,127,112,135,180,0,5372,2140,4154,2311,52,200,34,1059,1642,0,1,922,826,1256,773,333,7777,282,159,316
8,an18,201904_ymaze_cfos,CNO_control_reversal,764,4595,5110,1484,382,1818,857,25337,83012,2353,3811,10350,27447,12050,1837,1292,4411,22645,4334,4595,997,3423,59904,31381,4951,84598,7058,1299,4055,492,80,38173,4120,4692,5398,0,8343,0,1966,1444,15,5063,4995,1476,1362,266,184,412,6435,899,1061,374,1077,2273,446,980,828,1433,2029,10739,25,869,107,312,161,47,1209,52,328,0,0,0,29,140,1707,11,101,180,12535,1627,123,893,754,9182,0,0,595,264,122,0,2249,0,0,14898,7455,2792,3581,141,133,89,168,0,3911,3523,2338,1120,39,114,16,784,2788,0,0,461,1688,771,541,304,7286,373,98,185
9,an9,201904_ymaze_cfos,CNO_control_reversal,204,2052,636,1205,138,387,415,6521,19618,692,1045,3131,4863,1471,252,161,957,4109,759,1661,450,1040,6773,16431,1687,6427,742,131,381,27,1,2388,255,165,236,0,947,0,61,65,0,374,513,94,118,45,12,42,822,11,21,64,27,40,12,18,71,96,71,425,0,33,43,23,48,21,278,0,26,0,0,0,4,62,988,1,49,68,1219,291,80,42,373,260,0,0,173,78,118,0,244,0,0,2069,782,524,170,3,46,2,6,0,502,428,807,1050,8,5,0,58,1941,0,1,109,434,253,20,6,1174,10,11,16
0,an29,201904_ymaze_cfos,homecage_control,871,4616,3213,3700,358,2088,1613,31599,80227,2884,5121,17777,40552,9614,2200,853,4558,24040,6522,8779,1395,4366,46202,39766,5990,58454,5256,900,1630,114,42,14391,1386,896,2011,0,4755,0,710,540,4,2672,3781,438,390,116,54,142,3557,257,425,226,388,679,144,347,285,928,838,3806,14,534,72,121,124,44,740,14,169,0,0,0,16,121,1399,1,98,148,4152,1082,124,280,536,3428,0,0,546,318,193,0,741,0,0,9148,3467,1632,1164,50,122,54,35,0,1711,1502,1369,1562,29,149,13,547,3071,0,1,304,769,638,411,127,3587,152,50,67
1,an30,201904_ymaze_cfos,homecage_control,1046,3202,3055,4602,372,1430,1664,28897,85299,2450,4486,19364,51725,11795,1654,990,3779,26309,7503,9253,1249,4519,40687,37960,4727,60991,5529,846,2645,247,35,16266,1256,973,1667,0,3423,0,581,569,5,1716,2215,869,855,165,60,224,3504,243,238,267,248,693,109,315,373,769,695,3511,4,402,123,169,58,69,878,38,147,0,0,0,17,126,1604,13,191,387,5494,1019,100,504,1038,4090,0,0,367,145,105,0,932,0,0,6696,4503,1164,1105,32,153,20,29,0,1636,1217,1448,1457,10,13,3,220,4207,0,0,288,1541,482,121,45,3492,93,42,81
2,an31,201904_ymaze_cfos,homecage_control,1056,4896,827,6767,132,2251,2653,21856,71553,2406,3494,21524,63253,12042,2626,1440,7131,26160,8599,11002,1887,5911,48260,51353,7401,68955,6860,950,3455,201,27,15679,1487,1803,2224,0,4602,0,830,731,3,2811,2812,782,546,145,48,145,3125,166,336,143,199,651,114,245,350,536,845,4224,7,373,210,174,153,27,802,21,157,0,0,0,19,135,1697,3,282,505,6438,1123,149,436,1521,3867,0,0,429,221,251,0,528,0,0,8439,4270,1654,634,37,97,57,39,0,1776,455,1499,1475,13,57,11,313,1311,0,0,361,529,547,311,100,2838,142,40,78
3,an32,201904_ymaze_cfos,homecage_control,399,3702,2512,973,318,1403,1118,22871,63108,1972,3621,15277,30119,7155,1214,894,3381,15829,5199,7801,1824,3883,41181,34927,4595,52843,2767,609,1735,326,42,11543,1420,2090,1767,0,3830,0,535,378,5,2481,2853,497,454,57,29,129,2685,246,657,146,221,1207,137,254,304,661,705,2908,8,334,0,145,65,30,577,19,197,0,0,0,0,0,454,15,57,73,4550,1001,0,467,174,3431,0,0,443,175,142,0,673,0,0,8755,3388,1044,1322,16,59,41,30,0,1817,629,1285,393,17,113,24,398,352,0,0,439,1010,497,298,109,2529,122,50,60
4,an33,201904_ymaze_cfos,homecage_control,439,2326,1574,2445,183,1425,717,28224,72137,2477,4112,16427,34400,9256,1631,849,4962,17113,6038,8029,1185,4027,36124,28725,3988,55861,4714,620,1544,103,15,8506,1002,514,1326,0,2758,0,497,469,1,2463,2524,471,340,103,47,125,2557,126,200,178,137,409,79,224,158,521,460,2049,13,146,82,108,167,40,864,26,106,0,0,0,16,123,419,0,53,97,1792,881,59,78,291,1420,0,0,370,213,175,0,266,0,0,7545,2685,1104,705,40,49,43,41,0,1140,602,813,1250,15,74,11,439,2460,0,1,167,897,398,287,139,2617,146,40,67
0,an19,201904_ymaze_cfos,lobVI_reversal,326,1705,574,2739,91,691,784,4518,16353,485,1130,3949,12137,3966,348,400,829,4619,1755,2455,1183,2365,17493,29788,2034,14224,2016,228,890,15,16,2947,188,182,139,0,452,0,53,62,0,608,213,63,35,17,0,7,389,21,21,12,129,69,5,28,40,149,151,251,3,194,221,39,27,34,492,8,62,0,0,0,56,235,1870,0,147,81,3110,809,142,53,841,243,0,0,276,187,227,0,351,0,0,2159,1578,466,125,3,148,8,2,0,413,1016,533,1532,6,79,6,275,2222,0,0,58,342,236,191,73,1069,35,13,27
1,an21,201904_ymaze_cfos,lobVI_reversal,56,493,33,1052,6,77,453,6212,18196,779,806,2172,4767,1905,558,427,1283,3401,646,1334,458,998,5832,11741,997,3770,849,195,87,1,0,3079,24,68,179,0,368,0,54,36,0,252,106,13,4,1,1,3,114,7,14,1,38,33,2,3,2,24,23,104,0,57,53,20,45,32,229,2,9,0,0,0,2,72,1217,0,76,105,1076,191,20,40,400,230,0,0,155,79,87,0,320,0,0,972,385,563,59,2,87,2,1,0,202,389,406,317,5,15,1,66,529,0,0,38,102,195,29,12,447,12,4,11
2,an22,201904_ymaze_cfos,lobVI_reversal,363,1237,473,1893,89,361,491,9335,32723,751,1853,4965,13116,2943,516,479,1449,8234,2023,1820,451,1205,10524,16640,1798,11327,2184,215,259,7,3,3338,66,69,65,0,293,0,67,56,1,203,99,55,36,25,0,9,379,1,3,24,6,24,0,3,14,24,15,190,1,20,48,21,45,17,313,5,26,0,0,0,14,127,1251,0,71,134,2701,443,30,85,459,335,0,0,159,131,112,0,341,0,0,1583,782,329,98,7,103,6,13,0,428,610,492,1024,12,13,6,123,2178,0,0,136,503,237,64,24,1006,14,4,22
3,an23,201904_ymaze_cfos,lobVI_reversal,112,467,221,477,19,293,258,3568,11876,175,372,1484,2557,893,165,124,771,2681,405,492,182,405,5245,6606,661,8433,622,77,80,1,0,2568,197,183,108,0,242,0,37,67,1,157,155,26,17,2,3,7,115,20,30,6,22,87,16,17,21,41,60,117,3,64,12,19,24,16,198,4,14,0,0,0,1,46,726,1,25,29,2618,181,11,108,155,340,0,0,102,74,49,0,477,0,0,1088,489,478,321,12,74,1,15,0,583,636,408,150,6,9,4,153,328,0,0,96,486,292,24,61,2096,67,21,24
4,an24,201904_ymaze_cfos,lobVI_reversal,287,1416,1311,540,87,667,313,12969,38089,765,1003,2937,7611,7533,873,532,2725,9532,1339,1025,248,865,23913,16642,2248,45562,4991,721,739,21,19,11254,147,300,449,0,520,0,345,301,2,393,234,50,31,11,11,9,191,9,82,13,26,177,34,38,38,72,74,965,0,21,20,35,52,38,397,4,57,0,0,0,3,69,1214,1,30,31,5687,737,37,251,209,1034,0,0,660,464,194,0,1490,0,0,1627,832,524,1098,9,116,14,49,0,1535,1617,526,276,9,29,13,308,645,0,0,97,1010,252,124,145,3628,164,42,71
5,an25,201904_ymaze_cfos,lobVI_reversal,372,1567,1099,1392,167,762,960,11198,32163,915,1164,2524,4165,5448,760,772,2280,4957,919,1084,419,1341,18327,14551,2456,40525,3642,564,627,16,23,7867,201,476,176,0,504,0,115,220,0,237,200,40,124,8,8,30,262,4,61,77,73,304,16,33,28,27,61,646,0,21,48,79,83,35,687,13,66,0,0,0,14,149,1560,5,113,151,6177,645,39,226,508,1032,0,0,411,202,185,0,990,0,0,1974,635,349,639,10,139,28,10,0,1231,1578,891,282,15,33,10,351,307,0,0,153,144,364,170,133,1956,142,39,52
6,an26,201904_ymaze_cfos,lobVI_reversal,384,843,1003,510,150,454,242,11857,44233,435,881,4164,8635,4094,383,315,889,12721,2108,1397,311,728,18360,16699,1066,30164,871,224,598,3,15,7146,270,1383,1386,0,723,0,426,655,3,311,331,15,26,0,13,8,238,29,206,21,16,970,29,62,51,16,116,1660,0,13,0,59,106,17,406,14,93,0,0,0,0,1,331,3,28,101,3613,636,0,1209,182,6307,0,0,666,311,163,0,1383,0,0,2442,558,1020,2870,79,54,16,20,0,2754,1412,1030,213,8,54,13,261,387,0,0,574,717,525,123,88,3873,77,49,73
7,an27,201904_ymaze_cfos,lobVI_reversal,561,1516,481,3477,87,437,1018,11938,34585,966,1626,3783,11277,4651,695,566,2245,8369,1560,1848,823,1375,13565,19252,2457,19320,3787,364,155,8,2,5509,88,139,88,0,300,0,80,93,0,190,122,14,27,7,0,6,163,2,12,14,25,61,6,3,10,25,41,189,0,7,112,23,110,82,641,2,38,0,0,0,17,221,1907,1,121,165,4299,783,103,109,944,469,0,0,163,187,93,0,575,0,0,1455,549,436,177,7,156,10,4,0,559,1028,524,951,14,64,7,288,2613,0,0,74,838,232,122,85,1257,51,22,54
8,an28,201904_ymaze_cfos,lobVI_reversal,1066,1863,872,4363,140,455,1532,23377,71075,2441,4782,13539,23202,4965,707,832,3434,15812,3887,6384,1558,3602,17636,31424,2790,11803,3647,483,306,1,13,7442,135,214,128,0,394,0,114,180,0,267,451,37,37,6,3,7,268,11,44,7,22,205,12,23,24,102,61,232,2,13,167,44,147,72,806,3,61,0,0,0,11,229,2258,0,127,258,5361,1029,161,126,1310,645,0,0,530,298,294,0,585,0,0,3738,444,707,243,5,199,14,25,0,791,1309,813,1412,33,73,15,449,2870,0,1,204,644,289,303,126,1817,68,31,65
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,13,31,31,27,3,18,6,258,462,31,44,73,61,175,33,16,101,93,9,51,19,52,556,367,59,1403,125,12,24,4,1,124,61,22,77,0,170,0,5,6,0,68,154,37,20,8,1,11,157,15,8,3,12,9,5,22,24,41,45,95,0,16,2,3,0,1,15,0,0,0,0,0,0,5,13,0,0,2,39,9,2,3,11,13,0,0,5,0,0,0,3,0,0,106,47,23,11,2,1,0,0,0,8,9,24,11,0,0,0,1,14,0,0,3,7,3,1,0,27,0,0,4
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,7,126,29,68,5,21,23,218,424,16,18,113,74,134,28,8,65,164,14,77,24,38,538,406,62,791,94,17,58,8,3,159,50,22,37,0,154,0,2,4,0,51,101,31,23,7,4,5,138,7,4,2,19,8,3,5,12,35,26,68,1,4,4,5,0,3,15,0,2,0,0,0,3,12,29,0,0,2,25,13,3,1,12,15,0,0,2,4,3,0,2,0,0,151,21,28,10,0,0,0,0,0,5,12,21,26,0,0,0,0,27,0,0,0,8,4,0,0,33,1,0,0
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,8,111,47,144,6,35,38,530,706,55,76,64,128,274,53,37,175,171,21,75,35,76,621,672,139,1811,145,30,105,15,4,240,43,22,36,0,124,0,2,2,0,31,76,32,10,5,1,9,157,31,5,6,16,18,5,31,18,44,47,63,0,17,2,5,1,0,14,0,5,0,0,0,2,4,33,0,1,1,37,9,5,2,25,27,0,0,1,0,1,0,5,0,0,134,52,15,7,0,3,0,2,0,10,25,22,33,1,0,1,2,30,0,0,5,15,4,1,1,34,1,0,0
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,48,259,195,206,22,85,71,1408,3612,139,229,480,1087,814,163,148,396,849,143,260,80,195,2707,1865,331,4726,642,80,304,18,7,804,112,85,105,0,223,0,40,54,1,90,192,45,51,12,10,20,163,23,5,27,28,49,5,29,24,50,66,146,0,16,11,24,8,1,113,2,19,0,0,0,3,9,126,2,16,32,417,99,5,14,74,215,0,0,15,11,7,0,48,0,0,616,186,75,59,0,11,3,3,0,153,99,127,113,2,8,0,39,124,0,1,46,118,52,23,18,272,14,4,9
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,63,300,167,249,21,93,101,1733,4176,109,254,545,997,733,145,107,328,935,152,305,68,193,2644,2223,400,3968,353,33,211,11,3,866,81,91,101,0,226,0,50,58,0,102,154,41,26,8,5,7,185,23,35,24,25,60,12,25,24,40,48,155,0,12,8,19,13,3,112,2,25,0,0,0,4,6,129,0,11,31,379,122,13,32,66,226,0,0,15,5,4,0,65,0,0,637,218,83,83,3,13,3,2,0,136,99,156,92,2,5,2,39,138,0,1,43,120,62,16,16,307,13,4,8
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,25,219,126,184,17,97,82,1725,3790,114,141,461,965,857,165,106,382,683,164,183,91,153,2507,1477,277,4761,521,56,280,29,8,687,90,112,93,0,223,0,39,55,0,86,149,47,44,10,4,21,180,13,11,21,25,32,1,14,21,57,52,181,0,30,4,16,15,1,84,0,11,0,0,0,2,15,118,2,10,16,331,63,5,13,56,188,0,0,13,5,5,0,66,0,0,618,211,76,116,3,7,2,3,0,140,103,142,117,0,4,0,25,141,0,0,25,96,59,6,10,286,16,2,3
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,39,124,97,210,10,62,63,1566,3748,91,163,569,1196,647,91,101,295,784,155,263,65,157,2058,1432,206,2296,374,32,168,10,4,519,56,72,41,0,125,0,25,47,0,83,64,28,26,6,2,10,94,10,18,17,19,42,1,15,6,28,48,102,1,16,6,14,9,0,104,1,27,0,0,0,2,12,112,0,13,18,328,89,6,16,59,132,0,0,19,13,8,0,56,0,0,695,142,86,57,2,10,0,2,0,129,86,143,58,2,9,1,45,92,0,0,31,105,44,22,7,260,13,4,10
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,10,123,43,54,4,24,23,224,638,18,28,127,171,152,18,25,100,182,26,65,36,76,815,583,90,682,60,3,110,22,0,152,101,36,100,0,255,0,17,13,0,110,203,29,23,10,3,16,180,32,25,13,36,26,12,40,31,46,89,119,0,22,4,2,2,2,14,0,3,0,0,0,5,5,38,0,4,2,65,13,6,2,26,52,0,0,8,0,0,0,7,0,0,262,74,36,8,2,2,2,0,0,34,29,46,41,0,1,0,9,70,0,0,17,32,18,0,8,112,6,2,4
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,18,197,106,259,10,46,75,459,920,33,120,155,220,336,46,53,131,261,37,116,76,133,1166,1184,192,2690,259,19,142,19,3,378,125,50,110,0,231,0,17,22,0,100,196,49,53,10,5,21,187,22,13,10,24,33,4,32,28,59,71,165,0,22,3,8,2,0,21,0,11,0,0,0,1,2,52,0,2,6,107,22,0,4,14,57,0,0,12,2,5,0,12,0,0,366,116,42,32,1,3,6,0,0,50,40,75,29,0,0,1,8,70,0,0,18,36,11,5,8,86,9,1,4
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,13,51,48,68,4,30,28,155,340,23,38,55,90,94,14,4,61,105,23,34,13,17,568,426,87,1095,69,8,55,9,2,190,62,27,69,0,213,0,9,3,0,61,125,28,23,6,1,13,186,26,4,7,19,9,2,20,16,42,34,104,0,12,3,3,0,0,7,0,1,0,0,0,3,3,25,0,2,1,44,13,1,4,5,35,0,0,5,2,2,0,5,0,0,160,61,25,16,1,1,0,2,0,15,27,29,16,0,0,0,1,31,0,0,7,12,10,0,3,47,3,0,1
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,16,143,67,153,13,57,48,449,687,44,74,122,126,185,44,48,129,142,24,115,29,88,1145,761,137,2094,204,17,164,23,3,254,65,32,73,0,212,0,13,16,0,60,149,47,32,11,9,16,147,17,9,17,18,15,10,18,29,46,48,103,1,19,0,5,4,3,19,0,4,0,0,0,1,9,59,1,4,5,72,13,1,1,24,55,0,0,5,0,0,0,4,0,0,272,84,31,21,2,1,1,3,0,14,37,38,31,0,0,0,8,50,0,0,2,18,6,1,5,52,5,1,0
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,16,76,62,72,11,49,20,773,1234,92,161,252,292,350,63,24,156,280,41,182,74,141,1127,805,148,2411,226,30,99,13,3,232,84,65,67,0,249,0,16,15,0,121,225,42,28,6,4,11,205,22,30,9,15,20,17,46,20,60,77,80,0,4,0,3,2,1,25,1,4,0,0,0,2,8,36,0,2,2,41,12,0,0,9,38,0,0,5,1,1,0,1,0,0,243,108,28,13,1,1,0,1,0,19,25,24,8,0,0,0,3,32,0,0,6,10,3,0,0,37,3,0,1
5,an16,201908_tpham_ymaze_cfos,CNOnCrusILT,73,349,209,141,42,104,169,3608,6406,239,232,970,1910,1048,333,161,726,1473,293,392,75,120,2710,1947,592,4653,367,30,277,14,9,877,60,197,64,0,203,0,38,32,0,112,188,13,39,7,2,4,159,14,70,12,14,88,18,21,15,42,44,100,0,21,0,19,8,1,76,4,30,0,0,0,0,1,94,0,18,20,295,86,3,20,36,256,0,0,17,14,3,0,41,0,0,523,219,79,130,0,12,1,4,0,130,78,124,73,0,6,1,15,56,0,0,43,78,46,15,6,322,10,1,2
6,an17,201908_tpham_ymaze_cfos,CNOnCrusILT,61,329,218,439,37,127,157,1913,3789,157,229,572,1166,1062,168,118,356,840,184,377,96,284,2977,2012,474,5045,694,65,288,23,8,877,101,102,83,0,207,0,30,49,2,74,122,47,48,10,6,19,144,28,43,23,40,65,18,44,30,39,71,171,0,21,3,21,24,5,119,1,23,0,0,0,2,6,110,1,21,24,455,127,14,19,73,213,0,0,14,13,6,0,69,0,0,698,200,68,89,2,6,3,1,0,126,84,126,104,2,9,0,44,116,0,1,34,123,46,23,15,295,14,4,12
7,an18,201908_tpham_ymaze_cfos,CNOnCrusILT,76,335,276,530,37,139,198,2246,4431,162,200,759,2283,1102,207,153,592,1244,308,445,90,290,3399,2529,540,5391,838,82,323,14,8,1189,53,81,81,0,236,0,41,56,0,109,148,31,34,10,5,21,180,9,2,22,24,50,4,14,15,36,34,173,1,7,12,28,18,6,135,3,28,0,0,0,0,5,75,2,16,49,447,122,11,22,92,265,0,0,18,6,5,0,46,0,0,689,190,75,102,1,5,1,3,0,137,111,150,139,0,5,2,44,122,0,0,39,123,52,28,15,310,11,6,13
0,an01,201908_tpham_ymaze_cfos,CNOnCrusIRT,15,64,40,94,1,28,40,250,332,18,26,43,107,136,26,17,92,121,21,19,11,32,819,383,47,1217,112,14,96,19,4,200,71,13,102,0,216,0,16,5,0,60,138,51,11,9,0,5,190,13,5,5,13,2,2,14,17,31,12,159,0,8,5,7,1,5,18,0,0,0,0,0,0,7,38,0,1,11,35,4,6,2,38,29,0,0,0,0,0,0,2,0,0,140,42,15,7,1,1,0,0,0,9,19,18,17,0,1,0,3,21,0,0,1,3,3,1,1,33,2,1,0
1,an02,201908_tpham_ymaze_cfos,CNOnCrusIRT,24,54,33,28,6,19,16,628,949,60,74,145,258,188,36,19,88,165,47,118,21,54,607,395,27,1156,135,3,82,14,2,188,15,7,20,0,123,0,4,0,0,44,99,11,15,10,1,7,169,8,4,5,20,11,3,10,10,44,32,44,0,13,0,1,14,1,17,0,0,0,0,0,0,0,23,0,1,8,80,21,0,10,7,14,0,0,0,0,4,0,19,0,0,123,45,20,7,0,4,1,2,0,10,45,13,18,0,0,0,0,43,0,0,2,24,1,0,2,17,0,0,0
2,an03,201908_tpham_ymaze_cfos,CNOnCrusIRT,9,105,47,70,12,26,19,302,440,43,45,22,83,214,39,26,92,130,5,38,15,26,532,419,107,1422,157,21,91,11,1,201,80,16,63,0,186,0,1,3,0,24,139,27,21,12,0,9,193,7,1,7,10,6,2,14,15,33,17,107,0,8,0,3,3,3,11,0,4,0,0,0,1,3,32,0,1,1,44,23,0,1,11,18,0,0,1,0,3,0,1,0,0,65,29,17,7,1,0,0,1,0,6,14,21,24,1,0,0,0,38,0,0,2,11,4,0,0,39,0,0,0
3,an04,201908_tpham_ymaze_cfos,CNOnCrusIRT,8,78,22,64,6,32,11,378,549,34,78,95,130,136,48,10,113,104,29,81,31,83,418,414,76,1238,104,9,76,17,1,160,57,2,63,0,173,0,0,0,0,32,112,47,16,11,0,14,157,20,1,7,22,2,2,23,22,50,25,89,0,14,1,1,1,0,2,0,0,0,0,0,2,2,14,0,0,0,13,9,0,0,10,6,0,0,0,0,0,0,0,0,0,49,28,6,5,0,1,0,1,0,1,5,7,5,0,0,0,0,8,0,0,4,4,2,0,2,18,1,0,0
4,an05,201908_tpham_ymaze_cfos,CNOnCrusIRT,10,117,40,187,9,43,56,362,640,35,48,119,273,265,55,31,101,237,29,75,29,63,854,643,90,1616,202,16,69,7,2,232,42,8,85,0,190,0,3,6,0,36,137,14,4,3,0,4,134,11,0,3,10,4,0,6,11,46,24,94,0,13,2,5,2,3,21,0,0,0,0,0,1,2,51,0,1,2,54,10,2,2,22,12,0,0,4,0,2,0,4,0,0,202,52,24,14,0,0,1,0,0,21,31,28,16,0,1,0,5,37,0,0,5,15,6,1,3,51,4,0,0
5,an06,201908_tpham_ymaze_cfos,CNOnCrusIRT,26,163,142,109,10,82,55,1060,2508,94,107,364,762,483,63,56,166,449,99,155,38,148,1716,981,230,3392,307,40,188,9,3,381,33,51,60,0,120,0,20,52,0,42,72,13,9,5,6,11,73,11,8,16,24,33,8,21,14,27,29,86,0,10,10,16,13,5,93,1,19,0,0,0,0,9,57,0,7,10,282,65,7,4,37,113,0,0,11,11,4,0,41,0,0,804,103,66,65,4,5,0,1,0,103,81,121,21,0,2,0,14,81,0,0,16,84,27,15,13,86,9,2,5
