,brain,batch,condition,Telencephalon,Diencephalon,Mesencephalon,Metencephalon(no_cerebellum)
0,an011,202010_cfos,acquisition_day1,116182,32710,41074,15464
1,an012,202010_cfos,acquisition_day1,116459,29663,41935,17312
2,an013,202010_cfos,acquisition_day1,88806,31920,36722,18672
3,an014,202010_cfos,acquisition_day1,97106,33720,40797,10436
4,an015,202010_cfos,acquisition_day1,85912,20044,30736,12197
5,an016,202010_cfos,acquisition_day1,94667,31266,37938,15932
6,an017,202010_cfos,acquisition_day1,95926,41444,42572,15384
7,an018,202010_cfos,acquisition_day1,85647,22498,29757,14182
8,an019,202010_cfos,acquisition_day1,92383,28169,36152,13978
9,an020,202010_cfos,acquisition_day1,72688,24757,27519,14802
0,an021,202010_cfos,acquisition_day2,61656,21896,25487,12536
1,an022,202010_cfos,acquisition_day2,57497,12861,22900,8422
2,an023,202010_cfos,acquisition_day2,70519,15209,23151,11369
3,an024,202010_cfos,acquisition_day2,58145,14716,26416,11169
4,an025,202010_cfos,acquisition_day2,47474,12652,20832,8700
5,an026,202010_cfos,acquisition_day2,29497,6044,9504,5040
6,an027,202010_cfos,acquisition_day2,45572,18078,22884,7069
7,an028,202010_cfos,acquisition_day2,64968,8966,19314,7854
8,an029,202010_cfos,acquisition_day2,14815,4484,4109,5844
9,an030,202010_cfos,acquisition_day2,15352,5292,10824,2217
0,an001,202010_cfos,habituation,70333,14949,23321,10560
1,an002,202010_cfos,habituation,74414,16107,23883,11820
2,an003,202010_cfos,habituation,74315,20628,23052,10344
3,an004,202010_cfos,habituation,96951,23253,26294,12048
4,an005,202010_cfos,habituation,57512,8663,10866,8694
5,an006,202010_cfos,habituation,97185,15827,24503,13248
6,an007,202010_cfos,habituation,87821,21132,31976,11897
7,an008,202010_cfos,habituation,58589,9040,12265,7316
8,an009,202010_cfos,habituation,50948,8957,19422,4849
9,an010,202010_cfos,habituation,63080,15349,25040,6758
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,649331,59732,108021,70177
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,350826,41565,59655,45673
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,519293,36643,55702,46037
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,246093,28610,43584,28905
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,762078,93875,108687,45836
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,367498,46133,64336,38303
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,421942,57693,75989,41835
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,155574,18504,22900,19927
0,an10,201904_ymaze_cfos,CNO_control_reversal,237464,35932,45847,27749
1,an11,201904_ymaze_cfos,CNO_control_reversal,154246,23050,43798,23061
2,an12,201904_ymaze_cfos,CNO_control_reversal,664394,76365,102039,49165
3,an13,201904_ymaze_cfos,CNO_control_reversal,351569,64850,72505,43254
4,an14,201904_ymaze_cfos,CNO_control_reversal,412874,64969,69327,23175
5,an15,201904_ymaze_cfos,CNO_control_reversal,378144,87335,116442,43400
6,an16,201904_ymaze_cfos,CNO_control_reversal,311568,80280,114379,55332
7,an17,201904_ymaze_cfos,CNO_control_reversal,751045,175359,186933,76858
8,an18,201904_ymaze_cfos,CNO_control_reversal,505216,140569,137041,48860
9,an9,201904_ymaze_cfos,CNO_control_reversal,108795,14528,27721,19022
0,an29,201904_ymaze_cfos,homecage_control,488160,63813,87103,41461
1,an30,201904_ymaze_cfos,homecage_control,506341,64666,78668,43477
2,an31,201904_ymaze_cfos,homecage_control,566385,73738,79682,36352
3,an32,201904_ymaze_cfos,homecage_control,375888,55796,75217,26465
4,an33,201904_ymaze_cfos,homecage_control,407898,41296,62491,29785
0,an19,201904_ymaze_cfos,lobVI_reversal,162897,20818,33023,21782
1,an21,201904_ymaze_cfos,lobVI_reversal,95064,11414,19178,10696
2,an22,201904_ymaze_cfos,lobVI_reversal,160099,14974,30343,18167
3,an23,201904_ymaze_cfos,lobVI_reversal,61221,11428,22242,12326
4,an24,201904_ymaze_cfos,lobVI_reversal,217803,23988,57665,21304
5,an25,201904_ymaze_cfos,lobVI_reversal,189508,27409,42080,17354
6,an26,201904_ymaze_cfos,lobVI_reversal,183118,33378,56679,22227
7,an27,201904_ymaze_cfos,lobVI_reversal,194931,22881,31533,21601
8,an28,201904_ymaze_cfos,lobVI_reversal,321575,29599,51036,34300
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,5225,1629,868,522
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,4862,1406,1167,601
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,8045,1527,1052,781
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,26638,4492,5262,3819
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,27355,4380,5367,4285
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,24737,3935,5464,3555
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,21177,3235,4989,3446
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,5619,2640,1527,1465
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,11884,2812,2307,1319
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,4851,1807,1127,755
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,9492,2265,1537,797
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,11233,2418,1410,503
5,an16,201908_tpham_ymaze_cfos,CNOnCrusILT,35466,3818,5220,2855
6,an17,201908_tpham_ymaze_cfos,CNOnCrusILT,30092,4603,5419,3792
7,an18,201908_tpham_ymaze_cfos,CNOnCrusILT,36423,4461,5586,4329
0,an01,201908_tpham_ymaze_cfos,CNOnCrusIRT,5657,1910,738,434
1,an02,201908_tpham_ymaze_cfos,CNOnCrusIRT,6289,1230,906,538
2,an03,201908_tpham_ymaze_cfos,CNOnCrusIRT,6155,1554,621,567
3,an04,201908_tpham_ymaze_cfos,CNOnCrusIRT,5556,1415,427,324
4,an05,201908_tpham_ymaze_cfos,CNOnCrusIRT,8161,1544,1238,789
5,an06,201908_tpham_ymaze_cfos,CNOnCrusIRT,16625,2760,4068,1558
6,an07,201908_tpham_ymaze_cfos,CNOnCrusIRT,17436,2307,3773,2389
7,an08,201908_tpham_ymaze_cfos,CNOnCrusIRT,14486,2975,4462,2773
8,an09,201908_tpham_ymaze_cfos,CNOnCrusIRT,13083,2634,4018,2543
0,an21_crus1_lat,202002_cfos,CNO_control_reversal,327413,54623,121527,40424
1,an22_crus1_lat,202002_cfos,CNO_control_reversal,348549,62305,97647,27143
2,an23_crus1_lat,202002_cfos,CNO_control_reversal,293308,31868,89102,18174
3,an24_crus1_lat,202002_cfos,CNO_control_reversal,307656,57442,114742,48198
4,an25_crus1_lat,202002_cfos,CNO_control_reversal,305830,47145,96028,35857
0,an1_crus1_lat,202002_cfos,CNOnCrusILT,316736,44485,101505,57702
1,an15_crus1_lat,202002_cfos,CNOnCrusILT,331405,49272,125225,66114
2,an16_crus1_lat,202002_cfos,CNOnCrusILT,411226,39529,132383,54569
3,an17_crus1_lat,202002_cfos,CNOnCrusILT,343886,36846,93674,37582
4,an2_crus1_lat,202002_cfos,CNOnCrusILT,410729,71785,159090,57227
5,an5_crus1_lat,202002_cfos,CNOnCrusILT,396306,55746,122958,48540
6,an6_crus1_lat,202002_cfos,CNOnCrusILT,461778,82612,144653,93524
7,an7_crus1_lat,202002_cfos,CNOnCrusILT,457803,75074,148971,67225
8,an8_crus1_lat,202002_cfos,CNOnCrusILT,501582,82963,163865,83071
9,an9_crus1_lat,202002_cfos,CNOnCrusILT,495939,81611,140661,45941
0,an10_crus1_lat,202002_cfos,CNOnCrusIRT,589649,135857,198977,104305
1,an11_crus1_lat,202002_cfos,CNOnCrusIRT,376097,91808,158030,54312
2,an12_crus1_lat,202002_cfos,CNOnCrusIRT,547482,65859,113504,34995
3,an13_crus1_lat,202002_cfos,CNOnCrusIRT,402681,65415,89869,46801
4,an14_crus1_lat,202002_cfos,CNOnCrusIRT,353878,72015,122152,45335
5,an18_crus1_lat,202002_cfos,CNOnCrusIRT,364374,49657,125454,75052
6,an19_crus1_lat,202002_cfos,CNOnCrusIRT,314616,58122,107515,46024
7,an20_crus1_lat,202002_cfos,CNOnCrusIRT,344291,35856,105720,52794
8,an3_crus1_lat,202002_cfos,CNOnCrusIRT,317384,41430,102848,34792
9,an4_crus1_lat,202002_cfos,CNOnCrusIRT,343982,47626,94652,46083
0,an26_crus1_lat,202002_cfos,Vehicle_control_reversal,378439,58123,113199,32538
1,an27_crus1_lat,202002_cfos,Vehicle_control_reversal,267196,29380,83455,48469
2,an28_crus1_lat,202002_cfos,Vehicle_control_reversal,264750,44220,133442,37409
3,an29_crus1_lat,202002_cfos,Vehicle_control_reversal,298688,57052,114281,27812
4,an30_crus1_lat,202002_cfos,Vehicle_control_reversal,366725,58405,96604,30258
5,an31_crus1_lat,202002_cfos,Vehicle_control_reversal,285369,35977,90452,30160
6,an32_crus1_lat,202002_cfos,Vehicle_control_reversal,307854,45834,124099,34031
7,an33_crus1_lat,202002_cfos,Vehicle_control_reversal,322400,35390,83259,26347
8,an34_crus1_lat,202002_cfos,Vehicle_control_reversal,306249,65637,119038,38033
0,an6_cno,202002_cfos,cno_injection,308005,50086,87403,37709
1,an7_cno,202002_cfos,cno_injection,279989,51023,105120,40557
2,an8_cno,202002_cfos,cno_injection,387873,40400,80571,31159
0,an0_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,46532,9766,15205,5508
1,an1_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,52213,12768,22405,13908
2,an10_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,33104,9889,14016,3411
3,an11_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,49494,9235,23721,6572
4,an12_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,30623,6808,15749,4078
5,an13_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,280691,71761,111501,55450
6,an14_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,45563,12137,20191,11345
7,an2_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,31979,9267,16726,7560
8,an3_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,37548,9191,22714,12039
9,an4_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,66368,12685,31274,9854
10,an6_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,47891,8670,20605,12918
11,an7_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,57956,9835,19110,6768
12,an8_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,58644,9700,18556,6666
13,an9_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,49437,9005,14014,5788
0,an1_vecctrl_ymaze,202002_cfos,lobVI_noreversal,300311,72724,130244,73725
1,an10_vecctrl_ymaze,202002_cfos,lobVI_noreversal,387177,87738,151689,117081
2,an2_vecctrl_ymaze,202002_cfos,lobVI_noreversal,368027,83755,135754,100434
3,an3_vecctrl_ymaze,202002_cfos,lobVI_noreversal,401881,61885,134398,52100
4,an4_vecctrl_ymaze,202002_cfos,lobVI_noreversal,385430,96057,151167,69280
5,an5_vecctrl_ymaze,202002_cfos,lobVI_noreversal,336886,72410,120039,75891
6,an6_vecctrl_ymaze,202002_cfos,lobVI_noreversal,442686,87279,141111,113718
7,an7_vecctrl_ymaze,202002_cfos,lobVI_noreversal,520004,99438,126294,71007
8,an8_vecctrl_ymaze,202002_cfos,lobVI_noreversal,457459,76229,126790,61171
9,an9_vecctrl_ymaze,202002_cfos,lobVI_noreversal,468568,104033,154295,98990
0,an1_saline,202002_cfos,saline_injection,384405,32568,71202,33765
1,an2_saline,202002_cfos,saline_injection,388465,48197,88865,37584
2,an3_saline,202002_cfos,saline_injection,451113,45237,102244,33746
3,an4_saline,202002_cfos,saline_injection,376902,64019,94932,47177
0,dadult_pc_crus1_2,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,30827,4626,2401,142
1,dadult_pc_crus1_5,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,29769,7799,7423,217
2,dadult_pc_crus1_6,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,47608,6909,3972,1
3,dadult_pc_crus1_7,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,45597,8629,6054,38
4,dadult_pc_crus1_8,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,38509,9155,6165,73
5,dadult_pc_crus1_9,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,30059,7662,3686,191
0,dadult_pc_lob6_13,201810_adultacutePC_ymaze_cfos,lobVI_reversal,63802,5733,12113,134
1,dadult_pc_lob6_15,201810_adultacutePC_ymaze_cfos,lobVI_reversal,38919,3616,5884,207
2,dadult_pc_lob6_17,201810_adultacutePC_ymaze_cfos,lobVI_reversal,35842,3743,5470,130
3,dadult_pc_lob6_18,201810_adultacutePC_ymaze_cfos,lobVI_reversal,36525,3400,4771,43
4,dadult_pc_lob6_19,201810_adultacutePC_ymaze_cfos,lobVI_reversal,45230,5097,6079,214
5,dadult_pc_lob6_20,201810_adultacutePC_ymaze_cfos,lobVI_reversal,6109,617,1700,24
6,dadult_pc_lob6_21,201810_adultacutePC_ymaze_cfos,lobVI_reversal,13137,1454,2389,99
0,dadult_pc_crus1_1,201810_adultacutePC_ymaze_cfos,vector_control_reversal,46993,7621,6841,469
1,dadult_pc_crus1_3,201810_adultacutePC_ymaze_cfos,vector_control_reversal,39960,8751,5286,401
2,dadult_pc_crus1_4,201810_adultacutePC_ymaze_cfos,vector_control_reversal,31753,5757,5322,75
3,dadult_pc_lob6_14,201810_adultacutePC_ymaze_cfos,vector_control_reversal,46859,3345,6646,67
4,dadult_pc_lob6_16,201810_adultacutePC_ymaze_cfos,vector_control_reversal,31560,3766,6079,164
